id,root,leaf,flower bud,flower,1 cm fruit,2 cm fruit,3 cm fruit,mature green fruit,breaker fruit,fruit at 10 days after the breaker stage
Solyc01g091490,2,7,1,0.2,,,,0.1,,
Solyc01g091500,8,7,5,6,8,9,10,6,3,6
Solyc01g091510,23,6,6,9,10,19,26,22,17,14
Solyc01g091520,10,54,78,80,61,62,119,124,80,40
Solyc01g091530,205,60,76,48,202,339,192,327,50,4
Solyc01g091540,0.1,0.7,0.8,3,0.1,,0.1,,,
Solyc01g091550,18,17,18,21,25,33,28,30,16,23
Solyc01g091560,0.1,0.5,10,1,0.1,,,,,
Solyc01g091570,78,18,8,10,14,10,12,23,12,6
Solyc01g091580,6,51,20,21,37,33,23,18,19,34
Solyc01g091590,6,23,2,0.3,36,7,0.7,28,8,20
Solyc01g091600,35,17,21,18,19,26,20,29,18,33
Solyc01g091610,1,0.3,0.2,0.5,0.9,1,1,1,0.7,1
Solyc01g091620,66,19,42,57,53,67,87,57,36,37
Solyc01g091630,6,41,21,71,20,20,16,18,15,16
Solyc01g091640,36,27,29,16,69,74,28,54,22,22
Solyc01g091650,46,19,29,30,36,46,32,37,33,43
Solyc01g091660,22,11,2,2,0.4,0.1,0.1,,,
Solyc01g091670,6,7,7,8,0.4,,0.1,0.1,,
Solyc01g091680,,,,,,0.4,,,,
Solyc01g091690,21,5,6,4,11,42,72,154,152,303
Solyc01g091700,5,3,6,7,3,10,11,7,1,1
Solyc01g091710,12,5,11,11,14,24,18,19,16,20
Solyc01g091720,13,5,6,5,8,10,14,13,12,13
Solyc01g091730,172,210,175,225,148,169,177,150,115,155
Solyc01g091740,30,6,10,20,10,15,15,25,11,21
Solyc01g091750,46,26,40,39,43,28,29,28,25,32
Solyc01g091760,12,,,,,,,,,
Solyc01g091770,10,19,4,5,2,3,2,2,0.2,
Solyc01g091780,18,75,18,15,21,21,18,19,14,7
Solyc01g091790,6,3,4,5,8,10,12,8,20,6
Solyc01g091800,4,17,10,12,17,25,20,13,8,5
Solyc01g091820,7,5,3,3,7,8,11,9,8,10
Solyc01g091830,3,8,,,0.3,,,,,
Solyc01g091840,10,3,8,6,1,1,0.7,2,0.7,2
Solyc01g091850,0.7,1,25,4,4,2,0.7,0.1,,0.1
Solyc01g091860,15,7,7,14,10,13,17,16,9,11
Solyc01g091870,6,1,0.8,1,,,,,,
Solyc01g091880,35,24,27,31,35,38,27,33,30,51
Solyc01g091890,34,21,30,26,46,46,58,68,44,45
Solyc01g091900,15,11,10,10,11,13,15,13,11,16
Solyc01g091910,17,2,6,7,6,10,7,13,4,8
Solyc01g091920,39,3,4,12,1,1,0.5,,,
Solyc01g091930,13,1,2,3,1,0.5,0.5,0.1,0.1,
Solyc01g091940,8,3,5,5,6,5,6,6,7,8
Solyc01g091950,59,17,52,76,18,32,63,61,36,20
Solyc01g092950,98,77,11,6,0.1,0.1,0.2,,0.1,
Solyc01g093960,0.1,0.6,75,44,3,2,0.7,0.2,0.1,0.2
Solyc01g093970,30,10,18,13,22,27,13,29,25,22
Solyc01g093980,0.1,,1,0.1,0.1,0.2,0.1,0.1,,
Solyc01g093990,3,7,9,5,10,12,11,6,1,0.3
Solyc01g094000,39,17,17,22,23,33,42,32,32,30
Solyc01g094010,7,36,37,25,33,71,55,14,3,0.4
Solyc01g094020,10,8,9,7,21,26,36,16,10,3
Solyc01g094030,75,42,32,34,50,71,66,57,58,83
Solyc01g094040,31,21,20,16,45,61,51,49,35,55
Solyc01g094050,25,5,4,3,11,21,19,18,11,15
Solyc01g094060,34,7,9,9,19,27,23,23,15,20
Solyc01g094070,0.1,13,6,4,0.3,0.3,0.1,,,
Solyc01g094080,0.9,41,13,17,24,29,40,53,92,113
Solyc01g094090,0.1,9,8,7,0.4,0.2,0.2,0.1,0.2,
Solyc01g094100,,3,0.2,0.2,,,,,,
Solyc01g094110,0.4,6,7,8,0.1,,0.1,0.3,0.1,
Solyc01g094120,10,,0.1,,,,,,,
Solyc01g094130,7,0.1,,,,,,0.2,,0.1
Solyc01g094140,24,0.4,,,,,,5,0.9,
Solyc01g094150,16,11,13,15,11,13,13,15,18,18
Solyc01g094160,0.4,,2,0.5,,,,,,
Solyc01g094170,37,0.9,7,6,19,26,23,28,20,53
Solyc01g094180,1,0.8,3,1,2,2,2,2,1,2
Solyc01g094190,8,10,11,6,23,19,12,11,5,5
Solyc01g094200,80,64,82,84,131,120,85,100,49,59
Solyc01g094210,6,15,3,7,1,2,6,4,0.2,
Solyc01g094220,6,5,10,59,11,22,27,22,46,52
Solyc01g094230,0.6,0.3,0.4,0.2,0.2,0.3,0.3,0.2,,
Solyc01g094240,0.4,0.6,3,0.4,5,2,1,1,0.2,0.1
Solyc01g094250,1,0.9,0.9,0.1,12,15,10,9,4,1
Solyc01g094260,16,,,,,0.1,0.1,,,
Solyc01g094270,11,,0.1,0.1,,,0.1,,,
Solyc01g094280,21,17,10,18,39,25,18,22,15,44
Solyc01g094290,50,52,21,32,30,34,32,29,27,46
Solyc01g094320,0.2,0.1,132,160,0.4,0.2,0.4,0.4,,0.2
Solyc01g094330,5,3,4,5,6,10,13,9,11,18
Solyc01g094340,3,28,7,11,7,12,36,18,10,6
Solyc01g094350,77,20,19,26,36,50,37,40,31,42
Solyc01g094360,,0.8,3,1,3,3,3,9,0.6,
Solyc01g094370,115,128,72,74,112,109,72,70,28,30
Solyc01g094380,6,0.1,0.1,0.2,,,,,,0.2
Solyc01g094390,,,1,0.1,,,,,,
Solyc01g094400,0.5,0.2,267,115,0.3,,0.3,0.5,0.1,
Solyc01g094410,77,18,12,32,39,53,60,116,86,125
Solyc01g094420,51,22,27,31,32,31,30,22,21,26
Solyc01g094430,,0.1,,,,,,,,
Solyc01g094450,0.1,,,,,,,,,
Solyc01g094460,2,46,32,17,45,32,61,20,7,0.5
Solyc01g094470,86,54,85,67,121,89,72,75,68,47
Solyc01g094480,99,41,70,104,86,86,143,123,105,98
Solyc01g094490,7,4,12,12,10,13,20,12,14,19
Solyc01g094500,9,8,3,2,8,9,5,5,3,0.8
Solyc01g094510,0.6,0.5,0.9,0.8,1,,0.7,0.4,0.4,
Solyc01g094520,13,7,10,8,11,10,10,11,9,8
Solyc01g094530,23,9,16,13,17,17,15,15,10,12
Solyc01g094540,28,9,13,21,30,26,32,36,28,36
Solyc01g094550,32,20,44,30,41,43,36,31,14,29
Solyc01g094560,99,45,75,56,130,79,86,62,48,58
Solyc01g094570,15,9,9,8,15,16,18,20,11,12
Solyc01g094580,24,10,14,14,16,17,24,16,15,10
Solyc01g094590,6,0.3,1,2,2,2,2,4,2,1
Solyc01g094600,1,0.1,0.1,0.5,0.7,0.6,0.5,0.7,0.3,0.7
Solyc01g094610,6,0.9,2,0.7,2,0.4,0.7,0.3,,
Solyc01g094620,19,2,3,7,3,9,13,13,13,17
Solyc01g094630,28,10,12,19,13,13,12,13,11,11
Solyc01g094640,49,10,8,11,22,38,50,54,40,29
Solyc01g094650,1,0.2,0.4,0.5,1,0.9,0.3,0.3,,0.1
Solyc01g094660,49,8,6,8,6,11,14,15,13,17
Solyc01g094670,8,3,6,7,6,10,6,9,8,3
Solyc01g094680,35,21,41,29,38,33,30,27,15,30
Solyc01g094690,209,20,48,26,89,87,101,30,20,61
Solyc01g094700,8,37,100,41,55,84,85,30,6,0.2
Solyc01g094710,,,0.1,,,,,,,0.2
Solyc01g094720,7,39,24,36,44,61,34,33,31,29
Solyc01g094740,,0.1,0.5,,,,0.1,0.1,,
Solyc01g094750,0.3,8,8,1,5,8,9,1,0.1,0.1
Solyc01g094760,7,1,2,1,8,10,5,5,2,2
Solyc01g094770,115,74,48,68,53,67,100,99,122,88
Solyc01g094780,4,3,13,5,5,4,5,7,5,5
Solyc01g094790,38,73,19,33,62,84,118,70,245,148
Solyc01g094800,38,11,11,15,14,25,31,29,26,31
Solyc01g094810,144,15,36,58,62,95,130,78,54,51
Solyc01g094820,11,5,8,9,7,9,10,7,7,8
Solyc01g094830,14,13,12,5,11,9,8,7,4,3
Solyc01g094840,56,18,7,10,5,10,16,13,14,11
Solyc01g094850,2,0.3,0.7,0.4,0.9,1,1,1,1,1
Solyc01g094860,7,3,3,3,3,5,5,6,8,11
Solyc01g094870,0.4,0.4,21,4,6,6,2,0.3,0.3,0.1
Solyc01g094880,18,10,12,8,18,23,21,24,15,16
Solyc01g094890,65,21,12,41,3,3,2,2,0.2,0.3
Solyc01g094900,,,0.1,,,,,,,
Solyc01g094910,9,16,65,9,,,,,0.1,
Solyc01g094920,79,37,22,33,44,59,51,167,247,355
Solyc01g094930,88,30,43,47,62,75,66,74,83,93
Solyc01g094940,89,21,25,26,37,41,62,37,21,7
Solyc01g094950,447,191,195,270,183,198,209,458,339,377
Solyc01g094960,52,13,10,8,21,22,14,30,12,13
Solyc01g094970,2,0.8,17,27,0.1,0.2,0.1,,,0.1
Solyc01g094980,0.9,0.3,0.1,,0.2,,0.2,0.2,,0.1
Solyc01g094990,0.9,0.1,2,0.3,0.4,0.1,0.1,0.1,,
Solyc01g095000,3,72,17,31,9,12,9,13,15,27
Solyc01g095010,11,12,21,11,16,18,7,12,18,7
Solyc01g095020,44,9,16,31,11,27,33,36,37,32
Solyc01g095030,25,20,27,71,16,34,12,64,33,76
Solyc01g095040,57,17,27,29,46,58,94,73,50,39
Solyc01g095050,503,286,607,501,559,619,723,1069,855,417
Solyc01g095060,4,2,5,5,2,6,6,8,5,5
Solyc01g095070,197,45,244,297,132,140,132,102,85,28
Solyc01g095080,2,0.1,0.4,21,2,6,2,13,132,308
Solyc01g095090,2,2,2,2,4,3,1,1,2,0.2
Solyc01g095100,19,2,2,4,3,2,0.8,2,1,0.4
Solyc01g095110,6,1,1,1,4,7,7,6,3,4
Solyc01g095120,27,9,10,8,20,34,33,33,25,31
Solyc01g095130,1,0.5,0.5,0.3,2,0.9,0.8,0.4,0.1,
Solyc01g095140,16,27,8,2,34,23,16,66,4,13
Solyc01g095150,192,83,103,89,368,299,261,365,198,261
Solyc01g095160,1,0.1,0.2,0.4,2,3,2,3,1,3
Solyc01g095170,10,6,2,3,2,1,3,7,11,2
Solyc01g095180,7,11,12,13,7,8,7,5,8,1
Solyc01g095190,3,0.4,0.5,0.1,0.1,0.1,,,,
Solyc01g095200,178,100,109,156,110,152,175,219,273,245
Solyc01g095210,31,19,18,18,23,23,15,28,20,19
Solyc01g095220,9,11,8,7,12,8,14,19,9,7
Solyc01g095230,7,6,9,7,9,9,8,8,4,9
Solyc01g095240,20,3,6,8,0.7,3,2,0.1,,0.2
Solyc01g095250,0.1,1,0.3,1,0.3,0.4,0.7,,,
Solyc01g095260,,0.2,0.2,0.3,,,,,,
Solyc01g095270,19,57,9,20,12,23,33,29,30,46
Solyc01g095280,44,29,43,21,28,33,25,22,14,7
Solyc01g095290,7,4,4,3,7,13,6,11,7,8
Solyc01g095300,29,19,13,18,19,18,10,17,3,0.6
Solyc01g095310,1,0.4,0.2,0.6,0.6,0.8,0.4,0.3,0.1,0.1
Solyc01g095320,73,4,19,199,7,98,93,770,2196,4491
Solyc01g095330,3,0.1,0.4,0.9,4,4,8,1,0.7,0.6
Solyc01g095340,24,2,7,87,3,35,31,231,722,1409
Solyc01g095350,,,0.6,,0.4,,0.3,,,
Solyc01g095360,3,0.5,5,2,7,6,2,1,0.5,
Solyc01g095370,20,5,11,9,7,11,11,12,13,8
Solyc01g095390,2,2,2,3,5,6,7,9,5,4
Solyc01g095400,54,16,22,50,33,58,71,61,48,33
Solyc01g095410,289,235,400,447,387,249,176,302,880,775
Solyc01g095420,28,19,22,16,37,40,33,26,27,44
Solyc01g095430,12,1443,352,367,390,293,234,86,74,63
Solyc01g095440,3,,6,12,,,,,0.1,
Solyc01g095450,0.2,8,6,0.3,26,10,3,0.1,,
Solyc01g095460,48,15,45,42,32,33,37,33,13,46
Solyc01g095470,24,12,21,17,37,31,14,13,19,69
Solyc01g095480,47,14,40,34,74,60,75,53,25,29
Solyc01g095490,48,19,43,74,23,21,19,29,40,51
Solyc01g095500,2,0.2,3,2,7,7,4,4,3,3
Solyc01g095510,5,7,7,7,21,29,9,7,2,11
Solyc01g095520,5,4,26,6,0.5,0.5,0.2,0.2,0.2,
Solyc01g095530,1,146,437,574,122,117,98,234,101,1
Solyc01g095540,13,7,11,7,13,14,12,16,16,25
Solyc01g095550,0.2,0.1,2,2,0.1,2,0.5,0.1,,
Solyc01g095560,3,4,3,2,,0.7,0.4,0.4,0.2,0.1
Solyc01g095570,39,15,41,51,44,59,32,43,28,35
Solyc01g095580,45,47,17,14,19,28,44,40,61,101
Solyc01g095590,31,7,8,9,23,39,21,11,4,9
Solyc01g095600,0.6,0.1,0.2,0.2,0.4,0.6,0.9,0.7,0.6,0.6
Solyc01g095610,4,10,2,2,2,6,12,4,0.2,
Solyc01g095620,64,110,115,68,81,90,78,40,1,0.6
Solyc01g095630,26,48,11,12,26,19,3,72,28,68
Solyc01g095640,0.6,0.8,1,0.7,0.5,2,4,0.3,,0.2
Solyc01g095650,2,0.8,3,0.7,4,2,1,0.5,0.1,0.1
Solyc01g095660,0.4,0.3,0.1,0.2,0.6,0.2,,,0.3,0.6
Solyc01g095670,1,59,34,35,45,53,36,29,22,33
Solyc01g095680,3,11,3,7,6,11,7,8,11,24
Solyc01g095690,,3,0.4,0.8,2,5,7,1,0.4,0.3
Solyc01g095700,114,109,26,48,38,49,78,37,7,2
Solyc01g095710,11,4,2,4,2,4,5,5,7,10
Solyc01g095720,10,4,5,2,0.9,9,14,3,1,1
Solyc01g095730,17,6,10,18,8,15,19,17,14,17
Solyc01g095740,23,26,14,18,34,31,32,33,22,62
Solyc01g095750,4,2,0.5,0.9,0.1,0.3,0.5,0.4,0.5,0.1
Solyc01g095760,,,0.1,0.1,0.1,,,,,
Solyc01g095770,10,,0.2,,0.2,0.4,0.1,0.1,,
Solyc01g095780,1,0.1,775,0.6,0.1,,0.1,,,
Solyc01g095790,95,48,44,68,75,104,176,109,114,101
Solyc01g095800,11,12,9,7,8,7,8,5,5,5
Solyc01g095810,21,0.1,0.1,,,,0.1,,0.1,
Solyc01g095820,34,,,,,,,,,
Solyc01g095830,6,,,0.1,,,,,,
Solyc01g095840,0.6,,,,,,,,,
Solyc01g095850,0.8,,,,,,,,,
Solyc01g095860,12,,,,0.1,,,,0.1,
Solyc01g095870,0.3,0.1,0.1,0.1,,,,,,
Solyc01g095890,13,8,9,10,8,11,21,14,9,9
Solyc01g095900,4,28,5,9,5,9,11,10,40,176
Solyc01g095920,,,2,2,,0.1,,,3,2
Solyc01g095930,,1,0.6,0.4,0.4,4,6,13,42,89
Solyc01g095940,,0.2,0.2,0.1,0.1,2,2,4,21,43
Solyc01g095950,0.2,0.3,,,0.4,0.6,0.6,,0.2,0.3
Solyc01g095960,0.1,0.2,27,8,,0.1,,,0.1,
Solyc01g095970,43,7,23,11,25,25,11,30,24,21
Solyc01g095980,3,15,6,7,6,12,4,7,6,13
Solyc01g095990,109,40,37,67,45,45,28,48,40,65
Solyc01g096000,33,14,25,11,28,31,31,38,63,73
Solyc01g096010,6,7,6,8,13,20,13,20,22,39
Solyc01g096020,45,7,16,16,12,17,20,12,9,9
Solyc01g096030,6,3,4,5,5,8,10,7,4,6
Solyc01g096040,105,48,166,99,220,335,438,242,214,102
Solyc01g096050,10,8,18,12,12,18,23,49,81,58
Solyc01g096060,31,5,6,10,17,34,23,38,39,36
Solyc01g096070,156,33,21,4,3,1,1,2,1,3
Solyc01g096080,10,24,14,16,17,12,17,19,31,12
Solyc01g096090,158,92,178,122,189,139,107,114,116,148
Solyc01g096100,91,68,19,19,54,78,126,138,277,147
Solyc01g096110,19,5,4,5,5,10,10,12,12,25
Solyc01g096120,27,2,0.6,0.3,0.8,0.5,0.1,0.2,,
Solyc01g096130,57,47,37,54,34,42,70,49,46,36
Solyc01g096140,58,,2,4,0.7,0.2,0.3,0.1,,
Solyc01g096150,22,12,20,10,42,31,31,15,10,4
Solyc01g096160,10,7,5,8,5,7,7,9,8,11
Solyc01g096170,0.4,0.3,11,18,0.2,0.1,0.3,0.3,0.1,0.3
Solyc01g096180,16,13,19,20,13,12,14,13,10,19
Solyc01g096190,45,12,9,11,5,8,6,2,0.7,1
Solyc01g096200,9,6,3,3,5,8,6,11,8,13
Solyc01g096210,11,3,5,5,8,9,14,7,7,6
Solyc01g096220,39,17,15,6,73,29,7,18,4,16
Solyc01g096230,51,9,29,35,10,9,5,13,24,32
Solyc01g096240,8,273,106,72,244,216,176,134,56,57
Solyc01g096250,10,6,5,4,8,9,9,9,0.8,0.3
Solyc01g096260,2,32,29,46,4,3,4,0.5,,
Solyc01g096270,276,160,378,355,396,212,252,293,357,447
Solyc01g096280,8,2,0.5,2,0.1,0.3,0.2,0.3,0.6,0.2
Solyc01g096290,362,140,344,282,672,387,421,315,309,238
Solyc01g096300,4,2,2,2,1,0.7,1,1,0.9,0.8
Solyc01g096320,6,2,3,4,5,14,17,27,21,23
Solyc01g096330,0.6,0.8,0.1,0.7,,0.8,0.2,0.3,1,0.9
Solyc01g096340,41,80,52,276,5,14,11,40,88,57
Solyc01g096350,54,13,15,30,22,28,29,49,72,76
Solyc01g096360,11,61,21,17,13,10,4,7,3,0.2
Solyc01g096370,15,15,9,6,13,6,4,0.7,0.1,
Solyc01g096380,5,0.1,4,0.3,,,0.1,0.1,0.1,0.2
Solyc01g096390,18,5,7,6,14,25,32,22,12,15
Solyc01g096400,2,15,2,2,2,2,1,2,0.9,1
Solyc01g096410,1,3,7,7,4,5,1,0.3,,
Solyc01g096420,87,10,7,8,36,21,9,15,0.3,0.3
Solyc01g096430,90,17,29,15,69,54,58,44,12,9
Solyc01g096440,2,1,0.8,0.4,2,1,2,2,0.7,1
Solyc01g096450,288,44,123,39,589,519,137,8,1,1
Solyc01g096460,55,12,12,20,9,11,20,18,21,14
Solyc01g096470,63,19,47,93,26,31,30,22,19,3
Solyc01g096480,6,28,18,25,32,52,44,26,24,30
Solyc01g096490,38,10,11,17,14,21,31,29,34,38
Solyc01g096500,63,13,16,24,19,34,33,37,18,29
Solyc01g096510,11,23,0.5,0.9,1,1,,14,0.6,0.5
Solyc01g096520,81,44,44,41,74,63,77,76,63,84
Solyc01g096530,24,13,34,20,37,33,35,36,32,44
Solyc01g096540,23,9,8,6,23,27,19,23,15,20
Solyc01g096550,14,4,4,6,12,11,8,13,6,18
Solyc01g096560,5,0.6,0.5,0.5,1,1,0.9,0.3,0.4,0.2
Solyc01g096570,117,67,98,140,94,141,176,195,149,148
Solyc01g096580,103,41,98,67,177,124,107,89,58,57
Solyc01g096590,93,54,122,73,201,145,103,107,92,93
Solyc01g096600,42,19,23,24,31,38,35,42,33,44
Solyc01g096610,20,16,17,20,18,22,22,22,15,26
Solyc01g096620,9,6,14,26,10,15,9,10,8,13
Solyc01g096640,1,1,3,5,2,2,0.2,0.9,1,2
Solyc01g096650,0.3,0.3,1,0.3,0.1,0.2,,0.2,,
Solyc01g096660,10,510,218,386,102,84,44,67,125,213
Solyc01g096670,120,5,26,16,19,20,7,6,3,2
Solyc01g096680,4,0.4,2,0.8,5,3,2,1,0.3,
Solyc01g096690,,,0.4,0.5,,,,,,
Solyc01g096700,117,29,63,101,93,189,265,288,282,103
Solyc01g096710,90,52,91,88,91,78,65,63,67,71
Solyc01g096720,0.3,,12,1,,0.4,,0.8,0.1,0.8
Solyc01g096730,16,5,51,32,21,13,4,5,2,3
Solyc01g096740,37,2,21,12,5,3,3,4,10,9
Solyc01g096750,,,2,3,1,0.9,0.2,0.8,,
Solyc01g096760,37,14,23,25,45,34,45,37,29,38
Solyc01g096770,0.5,0.4,0.2,,0.5,2,1,,,
Solyc01g096780,52,25,29,30,59,63,62,46,28,27
Solyc01g096790,18,9,3,3,3,5,15,23,13,0.6
Solyc01g096800,16,9,6,9,18,20,11,20,10,17
Solyc01g096810,113,50,59,119,33,68,147,117,114,114
Solyc01g096820,32,0.3,0.2,0.2,0.9,0.4,0.5,0.7,1,0.1
Solyc01g096830,61,18,17,18,28,51,45,54,58,59
Solyc01g096840,2,0.4,2,2,2,0.7,0.4,0.2,,
Solyc01g096850,7,4,4,4,5,7,8,8,7,10
Solyc01g096860,6,0.5,0.3,0.1,0.1,0.1,0.1,0.1,,
Solyc01g096870,27,93,36,41,47,51,52,59,59,96
Solyc01g096880,6,8,12,37,2,6,7,0.7,0.1,
Solyc01g096890,10,4,5,4,7,6,6,6,6,5
Solyc01g096900,15,8,8,7,19,21,21,18,10,29
Solyc01g096910,37,18,13,14,15,13,20,13,11,11
Solyc01g096920,17,11,8,10,16,18,18,19,9,20
Solyc01g096930,22,3,2,5,2,3,3,5,6,4
Solyc01g096940,12,3,11,11,36,34,6,4,0.4,0.3
Solyc01g096950,9,5,6,6,11,12,8,9,7,8
Solyc01g096960,18,3,3,1,2,3,3,0.4,0.3,
Solyc01g096970,2,3,2,3,5,5,9,11,7,13
Solyc01g096980,1,0.6,0.4,0.6,0.1,0.6,0.3,0.2,0.1,
Solyc01g096990,38,9,14,19,20,33,30,28,27,34
Solyc01g097000,7,22,19,5,47,30,20,13,0.5,0.1
Solyc01g097010,113,59,83,95,99,98,123,76,74,73
Solyc01g097020,118,59,221,110,165,184,78,103,116,130
Solyc01g097030,14,4,7,15,6,15,15,13,18,17
Solyc01g097040,37,6,7,10,5,8,8,12,10,2
Solyc01g097050,0.6,,225,24,,,0.1,0.1,0.1,
Solyc01g097060,,,73,0.2,0.4,0.1,,0.1,,
Solyc01g097070,4,0.7,7,2,8,5,2,1,0.2,
Solyc01g097080,,,,,,,0.1,,,
Solyc01g097110,1,0.1,0.9,0.2,1,1,0.6,0.7,0.1,
Solyc01g097120,87,27,102,74,79,68,56,58,33,24
Solyc01g097130,13,6,5,6,11,15,11,10,9,10
Solyc01g097140,35,44,73,54,47,38,35,48,43,33
Solyc01g097150,14,17,15,12,9,18,25,18,17,13
Solyc01g097160,4,27,11,14,23,35,37,22,14,18
Solyc01g097170,30,19,34,24,38,41,26,43,35,42
Solyc01g097180,0.2,,48,71,0.1,,0.2,,,
Solyc01g097190,58,18,25,38,36,47,36,58,96,140
Solyc01g097200,9,,2,10,0.2,0.3,0.8,2,15,16
Solyc01g097210,13,,3,12,0.4,1,1,6,16,19
Solyc01g097220,0.4,,0.6,0.2,0.1,0.4,0.1,0.3,0.1,0.1
Solyc01g097230,14,6,47,73,11,11,12,13,16,22
Solyc01g097240,9,2,4,9,8,36,10,45,83,30
Solyc01g097250,24,11,15,16,20,25,24,20,22,19
Solyc01g097260,4,2,2,2,0.6,3,0.8,3,2,1
Solyc01g097270,444,101,55,45,75,51,34,135,71,5
Solyc01g097280,,5,6,14,0.3,,0.7,4,4,0.3
Solyc01g097290,94,114,116,174,212,220,117,48,1,1
Solyc01g097300,59,26,41,34,90,97,88,64,46,63
Solyc01g097310,77,147,96,89,154,119,88,78,87,108
Solyc01g097320,14,3,3,6,4,9,14,11,11,12
Solyc01g097330,28,13,16,15,15,18,25,14,15,6
Solyc01g097340,129,51,118,93,185,242,90,72,25,62
Solyc01g097350,77,22,30,24,63,45,44,73,45,65
Solyc01g097360,79,26,45,53,55,46,49,36,29,32
Solyc01g097370,0.1,,,,,,,,,
Solyc01g097380,0.1,0.1,,0.1,0.1,,0.1,0.1,,
Solyc01g097390,0.7,1,5,2,17,13,7,3,0.3,0.4
Solyc01g097400,0.3,,0.2,0.2,0.3,0.1,0.2,,,
Solyc01g097410,,,1,0.4,,,,,0.5,
Solyc01g097420,0.2,,,0.1,,0.3,0.1,,,0.1
Solyc01g097430,,,0.1,0.1,,,,,,
Solyc01g097440,22,23,21,20,25,26,27,29,24,38
Solyc01g097450,,,,,,,,,0.1,
Solyc01g097460,55,238,72,115,84,95,58,34,53,100
Solyc01g097470,7,5,10,3,0.6,7,14,9,1,4
Solyc01g097480,0.2,,0.1,,,,,,,
Solyc01g097490,0.3,,0.1,0.1,,,0.2,,,0.2
Solyc01g097500,34,18,30,31,74,75,82,39,56,56
Solyc01g097510,16,7,23,9,39,64,63,21,7,3
Solyc01g097520,52,37,143,34,318,273,190,75,25,10
Solyc01g097530,,,0.2,0.6,0.2,2,5,,,0.2
Solyc01g097540,16,11,20,15,9,10,12,19,28,65
Solyc01g097550,14,,0.1,0.1,,,,0.1,,
Solyc01g097560,0.2,,,,,,,0.3,,
Solyc01g097570,9,3,1,1,0.1,0.5,0.2,0.4,0.2,0.5
Solyc01g097580,,,0.1,,,,,,,
Solyc01g097590,10,5,5,5,11,10,5,8,2,7
Solyc01g097600,10,5,5,3,11,10,5,7,3,7
Solyc01g097610,16,9,11,11,13,17,17,19,20,20
Solyc01g097620,,,0.7,0.3,,,,,,
Solyc01g097630,2,2,1,2,1,0.9,0.8,0.9,1,2
Solyc01g097640,23,5,5,6,15,19,18,18,8,20
Solyc01g097650,15,12,7,83,1,2,2,2,1,1
Solyc01g097660,,,166,,,,,,,
Solyc01g097670,0.9,0.7,0.7,0.6,2,2,2,3,2,5
Solyc01g097680,31,,,,,0.1,,0.1,,0.1
Solyc01g097690,17,,0.1,0.1,,,0.1,0.8,,0.1
Solyc01g097700,2,,0.2,,,,,,,
Solyc01g097710,9,0.4,0.1,0.4,0.8,0.7,0.5,0.2,0.2,0.1
Solyc01g097720,22,0.1,0.1,0.1,0.1,0.3,0.1,,,0.1
Solyc01g097730,7,4,5,3,7,8,8,7,5,5
Solyc01g097740,86,43,61,53,97,59,41,44,42,42
Solyc01g097750,3,,0.2,,,,,,,
Solyc01g097760,334,126,209,177,515,395,363,296,206,208
Solyc01g097770,0.7,83,35,46,40,55,64,73,3,0.5
Solyc01g097780,,0.1,,,,,,,,
Solyc01g097790,11,13,8,8,7,9,8,15,18,7
Solyc01g097800,,22,16,15,24,24,19,43,29,17
Solyc01g097810,56,93,63,112,41,58,50,48,80,158
Solyc01g097820,5,9,7,9,2,5,5,4,2,2
Solyc01g097830,5,3,0.1,0.1,0.3,0.4,0.2,5,3,5
Solyc01g097840,9,5,4,6,6,10,4,8,5,10
Solyc01g097850,0.6,0.1,,0.6,,,,,,
Solyc01g097860,10,179,35,44,29,38,47,42,9,5
Solyc01g097870,255,87,132,103,382,380,462,293,188,97
Solyc01g097880,188,107,252,303,74,78,58,94,464,275
Solyc01g097890,27,10,26,25,24,27,34,26,20,14
Solyc01g097910,6,91,33,40,22,40,59,21,51,46
Solyc01g097920,28,11,33,15,3,2,0.7,0.4,0.4,0.2
Solyc01g097930,0.7,6,9,7,0.1,0.3,0.1,0.1,,
Solyc01g097940,0.1,0.4,0.5,0.4,,,,,,
Solyc01g097950,0.3,,4,2,17,10,3,2,0.1,0.1
Solyc01g097960,0.2,,126,24,,,0.1,0.1,,
Solyc01g097970,14,4,12,9,23,19,5,8,3,1
Solyc01g097980,33,9,7,10,7,15,17,21,17,34
Solyc01g097990,4,0.8,8,3,8,9,3,3,0.6,0.1
Solyc01g098000,97,43,74,44,182,151,89,107,67,132
Solyc01g098010,19,1,1,1,0.5,0.6,1,1,0.1,0.1
Solyc01g098020,39,38,13,30,11,11,13,8,2,0.4
Solyc01g098030,32,15,22,28,43,36,54,39,36,47
Solyc01g098040,50,31,25,24,67,75,102,72,48,29
Solyc01g098050,,,0.2,,,,,,,
Solyc01g098070,,,,,,0.4,,,,2
Solyc01g098080,10,6,8,9,6,9,6,7,3,1
Solyc01g098090,45,20,22,40,22,34,45,45,52,48
Solyc01g098100,33,19,37,44,40,27,11,19,14,25
Solyc01g098110,22,11,146,224,10,18,15,22,40,648
Solyc01g098120,4,9,4,18,1,7,18,1,4,3
Solyc01g098130,0.1,0.1,,0.1,,,,,,0.2
Solyc01g098140,4,1,2,8,0.1,0.5,0.1,0.5,0.3,0.1
Solyc01g098150,1,7,2,3,4,4,3,3,4,8
