gene_short_na,Root_TPM,Leaf_TPM
Solyc10g054940,0,0
Solyc10g054970,0,0
Solyc10g074640,0,0.034869307
Solyc10g085780,0,0
Solyc10g086590,0,0
Solyc11g013750,0.222383935,0.183301138
Solyc11g043070,0,0
Solyc11g043100,0,0
Solyc11g064770,0.009296018,0
Solyc11g065780,0,0
Solyc11g065800,0,0
Solyc11g068360,0.071959811,0.055889685
Solyc11g069660,0.014639112,0.062658079
Solyc11g069920,0,0
Solyc11g069990,0.042098014,0.05112283
Solyc11g071390,0,0
Solyc11g071995,0.499308028,0.16101667
Solyc11g072350,0,0
Solyc12g010660,0,0
Solyc12g017730,0,0
Solyc12g017800,0.154237655,0
Solyc12g017810,0,0
Solyc12g038900,0,0
Solyc12g096880,0,0.014786248
Solyc12g096900,0.013845908,2.562600192
Solyc12g097000,0.023998895,0.028349365
Solyc12g097010,0.008814371,0.076364386
Solyc10g008220,0.190847053,0.069788238
Solyc01g090430,0.522278185,0.163606786
Solyc10g047320,1.186203196,0.306911703
Solyc05g009630,0.959185685,0.419703444
Solyc04g007070,2.592068707,0.549090393
Solyc04g007060,3.74584083,0.422571985
Solyc04g007030,9.825216239,0.027501587
Solyc04g007050,3.558985256,0
Solyc04g008150,1.786417782,0.00481861
Solyc04g015210,3.115108115,0.021021846
Solyc03g005660,2.099512827,0.050724132
Solyc02g070410,0.140591494,0
Solyc04g015220,2.162140734,0
Solyc07g005770,0.092895425,0.039396707
Solyc08g005500,0.092271617,0
Solyc08g074250,0.099963926,0
Solyc10g008230,0.108819324,0.019778401
Solyc10g008240,0.341932552,0.042244745
Solyc11g069020,0.191786224,0.084589307
Solyc12g005970,0.057138697,0.104998664
Solyc00g294230,0,0
Solyc01g008800,0.189364645,0
Solyc01g014840,0.49862095,0.007013011
Solyc01g066020,0,0
Solyc01g102840,0.571105214,0.162972279
Solyc01g102850,0.011083113,0
Solyc01g102880,1.136832436,0.01155367
Solyc01g102920,0,0
Solyc01g113620,0.190181229,0.068822745
Solyc02g032240,0,0
Solyc02g032650,0.039694378,0.058620434
Solyc02g082050,0.036263189,0.05712366
Solyc04g007320,0.034414949,0.020973263
Solyc04g015630,0,0
Solyc04g025590,0,0
Solyc04g056570,0,0
Solyc05g006620,0.159237013,0.144479229
Solyc05g006630,0.220034524,0.111177061
Solyc05g007850,0.210669007,0.055309158
Solyc05g024370,0.118288149,0.031048057
Solyc07g052770,0,0.037871521
Solyc07g052790,0,0.054536858
Solyc07g052800,0,0.012736363
Solyc07g055380,0.047799971,0
Solyc07g055610,0.101938657,0
Solyc08g005510,0,0.003335932
Solyc09g007710,0.028729057,0.040506716
Solyc09g092410,0.569909006,0
Solyc10g012280,0,0
Solyc11g011060,0.290501052,0.031276148
Solyc11g011080,0.386768102,0.051551832
Solyc11g011350,0.035889745,0.024357366
Solyc11g062150,0,0
