NLR clade,gene_short_na
CNL-15,Cc00g23050
CNL-15,Cc00g23300
CNL-15,Cc00g24980
CNL-15,Cc00g26400
CNL-15,Cc00g26800
CNL-15,Cc00g27180
CNL-15,Cc00g27750
CNL-15,Cc00g27760
CNL-15,Cc00g28130
CNL-15,Cc00g29070
CNL-15,Cc00g29520
CNL-15,Cc00g29640
CNL-15,Cc00g29820
CNL-15,Cc00g30500
CNL-15,Cc00g31080
CNL-15,Cc00g31380
CNL-15,Cc00g31400
CNL-15,Cc00g32580
CNL-15,Cc00g34280
CNL-15,Cc00g35720
CNL-15,Cc02g33080
CNL-15,Cc04g12660
CNL-15,Cc05g01650
CNL-15,Cc06g16190
CNL-15,Cc06g20410
CNL-15,Cc08g00520
CNL-15,Cc08g01600
CNL-15,Cc08g01610
CNL-15,Cc08g01620
CNL-15,Cc08g01640
CNL-15,Cc08g01650
CNL-15,Cc08g01660
CNL-15,Cc08g01670
CNL-15,Cc08g01820
CNL-15,Cc08g01900
CNL-15,Cc08g01920
CNL-15,Cc08g01940
CNL-15,Cc08g01970
CNL-15,Cc08g01980
CNL-15,Cc08g02010
CNL-15,Cc08g02020
CNL-15,Cc08g02030
CNL-15,Cc08g02040
CNL-15,Cc08g02170
CNL-15,Cc08g02180
CNL-15,Cc08g02190
CNL-15,Cc08g02210
CNL-15,Cc08g02230
CNL-15,Cc08g02250
CNL-15,Cc08g02280
CNL-15,Cc08g03590
CNL-15,Cc08g03610
CNL-15,Cc08g03670
CNL-15,Cc08g03690
CNL-15,Cc08g03710
CNL-15,Cc08g03720
CNL-15,Cc08g04500
CNL-15,Cc08g04550
CNL-15,Cc08g04570
CNL-15,Cc08g04600
CNL-15,Cc09g04860
CNL-15,Cc10g08710
CNL-15,Cc11g03400
CNL-15,Cc11g04950
CNL-15,Cc11g05380
CNL-15,RPM1
CNL-15,Solyc01g086810
CNL-15,Solyc08g005440
CNL-16,Cc00g09140
CNL-16,Cc00g09160
CNL-16,Cc00g09730
CNL-16,Cc00g09750
CNL-16,Cc00g09760
CNL-16,Cc00g09790
CNL-16,Cc00g09960
CNL-16,Cc00g10080
CNL-16,Cc00g11130
CNL-16,Cc00g11140
CNL-16,Cc00g11180
CNL-16,Cc00g11990
CNL-16,Cc00g12000
CNL-16,Cc00g12010
CNL-16,Cc00g12030
CNL-16,Cc00g12560
CNL-16,Cc00g13650
CNL-16,Cc00g13660
CNL-16,Cc00g13670
CNL-16,Cc00g15320
CNL-16,Cc00g15680
CNL-16,Cc00g16570
CNL-16,Cc00g16840
CNL-16,Cc00g17390
CNL-16,Cc00g17520
CNL-16,Cc00g17570
CNL-16,Cc00g18700
CNL-16,Cc00g18940
CNL-16,Cc00g19390
CNL-16,Cc00g19510
CNL-16,Cc00g19540
CNL-16,Cc00g19640
CNL-16,Cc00g19650
CNL-16,Cc00g19750
CNL-16,Cc00g19990
CNL-16,Cc00g20220
CNL-16,Cc00g20410
CNL-16,Cc00g21010
CNL-16,Cc00g21440
CNL-16,Cc00g21650
CNL-16,Cc00g21890
CNL-16,Cc00g23330
CNL-16,Cc00g23630
CNL-16,Cc00g23870
CNL-16,Cc00g23940
